Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
Rippling,https://angel.co/company/rippling,5,Apr '17,San Francisco,"",https://www.rippling.com/,51-200,Series A,52500000
Appvance.ai,https://angel.co/company/appvance,5,Jul '13,Santa Clara,Developer Tools,http://www.appvance.ai,11-50,Series B,13500000
Must See India,https://angel.co/company/must-see-india,5,Feb '13,Bengaluru,Career Planning,http://www.mustseeindia.com,11-50,"",5000000
Junglee Games,https://angel.co/company/junglee-games,5,Sep '11,San Francisco,Mobile Games,https://www.jungleegames.com/,201-500,Seed,3500000
ClearTax,https://angel.co/company/cleartax,5,Aug '14,Bengaluru,Internet Technology,https://cleartax.in,501-1000,Series B,65420000
Zendrive,https://angel.co/company/zendrive,5,Aug '13,San Francisco,Insurance Companies,http://www.zendrive.com,51-200,"",15000000
Lookup,https://angel.co/company/lookupto,5,Dec '14,Delhi,Messaging,http://www.lookup.to,51-200,Acquired,2882000
SpringRole,https://angel.co/company/springrole,5,Feb '15,Santa Monica,Blockchains,http://springrole.com,51-200,Seed,250000
HackerRank ,https://angel.co/company/hackerrank,5,Sep '14,Mountain View,Programming,https://www.hackerrank.com/,201-500,Series C,49900000
Razorpay,https://angel.co/company/razorpay,5,Mar '15,Bengaluru,Mobile Payments,https://razorpay.com,51-200,"",11500000
Semantics3,https://angel.co/company/semantics3,5,Sep '12,San Francisco,Developer APIs,https://www.semantics3.com/,11-50,Seed,2150000
Zoom,https://angel.co/company/zoom,5,Feb '12,Bengaluru,Travel & Tourism,http://zoomcar.com,51-200,Series A,10900000
mygola.com,https://angel.co/company/mygola-com,5,Aug '10,Bengaluru,Online Travel,http://mygola.com,11-50,Series A,2658000
Plivo,https://angel.co/company/plivo,5,Nov '11,Austin,Developer APIs,http://www.plivo.com,51-200,Seed,1750000
Babajob,https://angel.co/company/babajob-1,5,Sep '12,Bengaluru,Emerging Markets,http://www.babajob.com,51-200,Acquired,10000000
bluestone.com,https://angel.co/company/bluestone-com,5,Jul '13,Bengaluru,Curated Web,http://bluestone.com,201-500,"",15000000
Headout ,https://angel.co/company/headout,5,Feb '14,San Francisco,Mobile Commerce,http://www.headout.com,51-200,Series A,12500000
HackerEarth,https://angel.co/company/hackerearth,5,Dec '12,San Francisco,College Recruiting,https://www.hackerearth.com,51-200,Series A,5000000
Simpa Networks,https://angel.co/company/simpa-networks-1,5,Jan '12,Vancouver,Rural Energy,http://www.simpanetworks.com,"","",1100000
ZoomCar India,https://angel.co/company/zoomcar-india,5,Aug '14,Bengaluru,Automotive,http://www.zoomcar.in,201-500,Series B,70200000
ZipDial,https://angel.co/company/zipdial,5,Apr '12,Bengaluru,Emerging Markets,http://www.zipdial.com,51-200,Acquired,650000
Springboard,https://angel.co/company/springboard,5,Apr '15,San Francisco,Training,http://www.springboard.com,51-200,Series A,11265000
TutorVista.com,https://angel.co/company/tutorvista-com,5,Jan '12,Bengaluru,Education,http://www.tutorvista.com,"",Series D,80750000
OurHealthMate.com,https://angel.co/company/ourhealthmate,5,Jul '12,San Francisco,Marketplaces,http://ourhealthmate.com,11-50,Closed,1492000
Instamojo,https://angel.co/company/instamojo,5,Apr '12,Bengaluru,Mobile Commerce,http://instamojo.com,51-200,Series B,10120000
Uninstall.io,https://angel.co/company/uninstall-io,5,Jun '15,Bengaluru,Mobile Advertising,http://www.uninstall.io,1-10,Acquired,1500000
Hiver,https://angel.co/company/grexit,5,Feb '11,Silicon Valley,Customer Support Tools,http://hiverhq.com,11-50,Seed,175000
Makesurehow,https://angel.co/company/makesurehow,5,Feb '16,Bengaluru,Ventures for Good,http://www.makesurehow.com,"",Acquired,200000
Eventifier,https://angel.co/company/eventifier,5,Aug '12,Bengaluru,Events,http://eventifier.com,1-10,Seed,500000
Numerify,https://angel.co/company/numerify,5,Feb '14,Chicago,Artificial Intelligence / Machine Learning,https://numerify.com,51-200,Series D,88000000
MarianaIQ,https://angel.co/company/marianaiq,5,Feb '14,San Mateo,Lead Generation,http://marianaiq.com,1-10,Seed,2000000
Unocoin,https://angel.co/company/unocoin,5,Jun '14,Bengaluru,Bitcoin,https://www.unocoin.com,51-200,Seed,2250000
ZopNow,https://angel.co/company/zopnow,5,Dec '13,Bengaluru,"",https://www.zopnow.com,11-50,"",10000000
NextDrop,https://angel.co/company/nextdrop,5,Nov '14,Bengaluru,Water,http://www.nextdrop.org,1-10,Seed,675000
Milaap Social Ventures,https://angel.co/company/milaap-social-ventures,5,Apr '12,Bengaluru,Crowdfunding,http://www.milaap.org,11-50,Series A,1100000
Overcart,https://angel.co/company/overcart,5,Oct '12,Delhi,Robotics,http://www.overcart.com,51-200,Series A,3500000
DocsApp,https://angel.co/company/docsapp,5,Oct '15,Bengaluru,Artificial Intelligence,https://www.docsapp.in,201-500,"",8400000
DoctorC,https://angel.co/company/doctorc,5,Aug '14,Hyderabad,Technology,http://www.doctorc.in,51-200,Seed,450000
Appknox,https://angel.co/company/appknox,5,Jul '14,Singapore,Mobile Security,https://www.appknox.com,11-50,Seed,650000
Timesaverz ,https://angel.co/company/timesaverz,5,Feb '14,Mumbai,"",http://www.timesaverz.com,1-10,Series A,2537000
Kotak Urja,https://angel.co/company/kotak-urja,5,Dec '14,Bengaluru,"",http://www.kotakurja.com,"","",8000000
Teabox,https://angel.co/company/teabox,5,Sep '14,Bengaluru,"",http://www.teabox.com,11-50,Series A,7000000
Forus Health,https://angel.co/company/forus-health,5,May '14,Bengaluru,Healthcare,http://forushealth.com,"",Series A,13400000
Frrole,https://angel.co/company/frrole,5,Mar '13,Palo Alto,Predictive Analytics,https://frrole.ai,11-50,Seed,245000
Inksedge,https://angel.co/company/inksedge-infotech,5,May '16,Bengaluru,Design,http://www.inksedge.com,11-50,"",1500000
Thrillophilia,https://angel.co/company/thrillophilia,5,Oct '12,Bengaluru,Adventure Travel,http://www.thrillophilia.com,51-200,Seed,230000
TaxiForSure,https://angel.co/company/taxiforsure,5,Aug '13,Bengaluru,Travel & Tourism,http://taxiforsure.com/,501-1000,"",100000000
Tejas Networks India,https://angel.co/company/tejas-networks-india,5,Jan '12,Bengaluru,"",http://www.tejasnetworks.com/,"",Series C,15000000
99tests,https://angel.co/company/99tests,5,Mar '12,Bengaluru,Crowdsourcing,http://99tests.com,11-50,Series A,850000
HyperVerge,https://angel.co/company/hyperverge,5,Oct '14,Palo Alto,Deep Learning,http://www.hyperverge.co,11-50,Seed,1700000
Knowlarity,https://angel.co/company/knowlarity,5,May '11,Delhi,Telephony,http://www.Knowlarity.com,201-500,"",15000000
Dexetra,https://angel.co/company/dexetra,5,May '11,Bengaluru,Semantic Search,http://www.dexetra.com,"",Acquired,250000
Livspace,https://angel.co/company/livspace-1,5,Jan '15,Bengaluru,Mumbai,http://www.livspace.com,1001-5000,Series B,27600000
Microland,https://angel.co/company/microland,5,Mar '13,Bengaluru,Analytics,http://www.microland.com,11-50,"",18300000
United Mobile Apps,https://angel.co/company/united-mobile-apps,5,Jan '12,Bengaluru,"",http://www.umobile.in,"",Seed,200000
Minjar,https://angel.co/company/minjar,4,Feb '16,San Francisco,Cloud Management,http://www.botmetric.com,51-200,Acquired,750000
Exotel,https://angel.co/company/exotel,4,Jul '12,Bengaluru,B2B,http://exotel.com,51-200,Seed,500000
Roadrunnr,https://angel.co/company/roadrunnr,4,May '15,Bengaluru,Crowdsourcing,http://roadrunnr.in,"",Series A,11000000
Cooolio Online ,https://angel.co/company/cooolio-online,4,Aug '13,Bengaluru,Location Based Services,http://www.cooolio.com,1-10,Seed,375000
CREO,https://angel.co/company/creotech,4,Oct '13,Bengaluru,Consumer Electronics,http://www.creosense.com,51-200,Acquired,3000000
TELiBrahma,https://angel.co/company/telibrahma,4,Jan '12,Bengaluru,Services,http://www.telibrahma.com,"",Series C,2250000
Accern,https://angel.co/company/accerncorp,4,Jan '14,New York City,Big Data Analytics,http://www.accern.com,11-50,"",4435000
Shadowfax,https://angel.co/company/shadowfax,4,Jul '15,Bengaluru,Supply Chain Management,http://shadowfax.in/,1-10,Series C,40800000
NewsHunt,https://angel.co/company/newshunt,4,Sep '14,Bengaluru,"",http://newshunt.com,"",Series C,37400000
LogMeIn,https://angel.co/company/logmein,4,Oct '16,Boston,Internet of Things,https://www.logmeininc.com/,1001-5000,Series C,30000000
MoEngage,https://angel.co/company/moengage,4,May '14,Jakarta,Marketing Automation,http://www.moengage.com,201-500,Series B,13250000
Sourcebits,https://angel.co/company/sourcebits,4,Oct '12,San Francisco,Product Design,http://www.sourcebits.com,201-500,Series A,10000000
Unacademy,https://angel.co/company/unacademy,4,Nov '15,Bengaluru,Education,http://unacademy.in,201-500,Seed,500000
TeamPost,https://angel.co/company/nextmail,4,May '15,San Francisco,Productivity Software,http://www.teampost.co/,1-10,"",200000
Whatfix,https://angel.co/company/whatfix,4,Jun '13,San Jose,Training,http://whatfix.com/,51-200,Series B,17200000
ZestMoney,https://angel.co/company/zestmoney,4,Feb '16,Bengaluru,Consumer Lending,http://www.zestmoney.in,51-200,Series A,33400000
Capital Float,https://angel.co/company/capital-float,4,Oct '15,Bengaluru,Financial Services,http://capitalfloat.com,"",Series A,40000000
Belong,https://angel.co/company/belong,4,Jun '15,Bengaluru,Human Resources,http://www.belong.co,11-50,Series A,5000000
Valencia Nutrition,https://angel.co/company/valencia-nutrition,4,Feb '15,Bengaluru,Nutraceutical,http://www.valencianutrition.com (company) www.vitameforlife.com (product),"",Seed,403584
Moonfrog Labs,https://angel.co/company/moonfrog-labs,4,Oct '13,Bengaluru,Mobile Games,"",51-200,Series A,16000000
Swiggy,https://angel.co/company/swiggy,4,Jul '14,Bengaluru,Logistics,http://www.swiggy.in,1001-5000,"",68500000
Urban Ladder,https://angel.co/company/urban-ladder,4,Feb '13,Bengaluru,Home & Garden,http://www.urbanladder.com,"","",77000000
Bizongo,https://angel.co/company/bizongo-business-on-the-go,4,Apr '15,Gurugram,B2B,https://bizongo.com/,501-1000,Series B,25000000
Verloop,https://angel.co/company/verloop,4,Jun '17,Bengaluru,B2B,https://verloop.io,11-50,Series A,3000000
Health Vectors,https://angel.co/company/health-vectors-1,4,Jan '16,Bengaluru,Predictive Analytics,http://www.healthvectors.in,11-50,"",1500000
Appnomic Systems,https://angel.co/company/appnomic-systems,4,Aug '14,Santa Clara,RIM,http://www.appnomic.com,51-200,Series A,11700000
Betterhalf.ai,https://angel.co/company/better-half,4,Feb '17,Cambridge,Match-Making,http://betterhalf.ai/,11-50,Seed,800000
Aisle,https://angel.co/company/aisle-1,4,May '14,Bengaluru,"",http://www.aisle.co,1-10,Seed,300000
BuyHatke,https://angel.co/company/buyhatke-1,4,Aug '13,Bengaluru,"",http://buyhatke.com,11-50,Seed,1000000
Medgenome Labs,https://angel.co/company/medgenome-labs,4,Jun '14,Bengaluru,"",http://medgenome.com,"",Series B,20000000
Tookitaki,https://angel.co/company/tookitaki,4,Jan '13,Singapore,Banking,http://www.tookitaki.com,11-50,Series A,31200000
Tracxn,https://angel.co/company/tracxn,4,Jan '14,Bengaluru,Technology,https://tracxn.com,501-1000,Series B,16870000
Tablehero,https://angel.co/company/tablehero,4,May '15,Sausalito,Restaurants,https://tablehero.com,1-10,Seed,1000000
Hiree,https://angel.co/company/hiree,4,May '15,Bengaluru,Human Resources,http://hiree.com,51-200,Acquired,3630100
myNoticePeriod.com,https://angel.co/company/mynoticeperiod-com,4,Aug '14,Bengaluru,"",http://www.hiree.com,11-50,Acquired,3630100
SaltMines Group,https://angel.co/company/saltmines-group,4,Apr '16,Vero Beach,"",http://www.saltminesgroup.com,11-50,Seed,1445000
Unbxd,https://angel.co/company/unbxd,4,Mar '15,Bengaluru,Navigation,http://www.unbxd.com,51-200,Acquired,2000000
Locus.sh,https://angel.co/company/locus-sh,4,Sep '15,Bengaluru,Optimization,http://www.locus.sh,51-200,Series B,24750000
Carveniche Technologies ,https://angel.co/company/carveniche-technologies,4,Mar '14,Bengaluru,K-12 Education,http://www.carveniche.com,1-10,Seed,200000
Tapzo (formerly Helpchat),https://angel.co/company/helpchat,4,Jun '11,Bengaluru,Digital Media,http://www.tapzo.com,201-500,Series B,23200000
Furlenco,https://angel.co/company/furlenco,4,Jan '15,Bengaluru,Online Rental,http://www.furlenco.com,201-500,Series B,15000000
Postman,https://angel.co/company/postman,4,Jul '14,San Francisco,Developer Tools,http://www.getpostman.com,51-200,Series B,58000000
Zivame,https://angel.co/company/zivame,4,Feb '12,Bengaluru,Women-Focused,http://www.zivame.com,"",Series C,43000000
Synup,https://angel.co/company/synup,4,Oct '13,Bengaluru,Local Advertising,http://synup.com,51-200,Series A,6500000
Pipemonk,https://angel.co/company/zapstitch,4,Aug '13,Bengaluru,B2B,http://www.pipemonk.com/?utm_source=angel.co,11-50,Series A,2100000
